F1,F2,F3,F4,composite
-0.8323,0.7371,-0.0904,0.3668,0.0163
0.2174,-1.0001,1.0101,-0.7585,-0.1716
0.4186,-0.2848,-0.179,0.6898,0.1451
0.4031,-0.1889,-0.05,0.1882,0.095
-1.67,1.1448,-0.5453,0.9715,-0.0923
-0.0194,0.3387,0.5281,0.4627,0.2927
-0.2846,0.2389,1.0128,-0.5754,0.0747
-0.9445,-0.4633,0.3452,-0.7901,-0.5106
-1.0404,0.8201,0.1701,0.3384,0.0245
0.0556,-0.1522,-0.8951,0.9308,-0.0246
-0.927,0.6249,-0.1984,1.0174,0.062
0.3133,-0.0673,-2.1673,1.0137,-0.1635
-0.4257,0.3262,0.4305,-0.5426,-0.0548
0.698,-0.4944,0.3885,-0.1577,0.116
-0.6353,0.6075,-1.7517,2.0184,0.0289
-0.9336,0.1942,-0.0197,-0.0035,-0.2327
-0.1648,-0.4024,-0.7366,0.9095,-0.137
0.7157,-0.7142,0.9257,-1.1092,-0.0228
-1.4408,-0.4109,-0.0518,0.5498,-0.461
0.926,-1.8389,1.1688,0.4201,0.0659
0.4586,-0.6048,-1.6542,1.6185,-0.0517
1.751,-0.6605,1.0554,-0.8831,0.3801
-0.7096,-1.2747,-0.0553,-0.295,-0.6593
0.5212,0.0874,0.8956,0.6633,0.4987
0.3747,-0.1504,-1.8749,-1.4836,-0.6062
0.0195,0.0312,0.2017,-1.0362,-0.15
0.2287,-0.4354,0.3952,-0.0934,0.0042
-0.0872,-0.1805,-1.7921,-1.0562,-0.6541
0.1824,-0.1994,-0.0354,0.2399,0.0378
0.1824,-0.1994,-0.0354,0.2399,0.0378
-0.194,-0.0028,0.5293,0.9135,0.2294
0.3094,-0.2171,0.6051,0.1732,0.1885
-0.006,0.3976,0.4877,0.4408,0.3014
0.29,-0.0521,0.5605,0.2739,0.2418
-0.2267,-0.4473,0.0443,0.3124,-0.1289
-0.0908,-0.1724,0.3236,0.2206,0.0316
0.4919,-0.4494,1.4468,-0.6285,0.188
-1.5182,0.7935,-0.8617,1.5993,-0.0883
-0.1156,-0.3809,0.269,1.2599,0.1586
1.5654,-2.4622,-2.2029,1.7819,-0.3366
-1.0438,2.6225,-1.8314,-2.0014,-0.3218
-2.0454,2.4765,-1.0982,-0.2648,-0.1756
0.8261,-1.8341,1.2845,-0.0661,-0.0363
-0.9241,-0.5833,-0.2893,0.7076,-0.3707
-0.4766,-0.3778,1.729,-1.2909,-0.1608
-0.309,0.0005,-0.1703,0.0907,-0.1107
-0.9003,1.0048,-1.4018,1.5911,0.0505
-1.1967,0.1701,-0.3378,0.8814,-0.2088
-0.6224,0.1277,1.1002,-1.1368,-0.1547
-0.2607,0.2256,-1.5065,1.2814,-0.0652
-0.3498,-0.2291,-1.4253,0.6733,-0.3299
-1.435,1.7023,-0.5671,-0.1971,-0.0943
0.6559,-1.1036,-1.5203,1.297,-0.1742
0.3325,-0.5629,0.4951,-0.4872,-0.0594
-0.188,-0.2864,1.138,-1.3649,-0.181
0.7719,-1.1765,-0.2459,0.403,-0.0786
2.2592,-2.5053,0.4374,0.2895,0.1029
-0.9286,0.8134,0.2707,-0.1882,-0.0277
0.5285,-0.3285,0.93,-0.488,0.1573
2.0861,-2.695,-0.6044,0.2386,-0.2275
0.8254,-1.1501,0.1769,0.1586,-0.0171
-0.4898,-0.8054,1.0238,0.2928,-0.1185
-1.7084,1.0521,0.9783,-1.17,-0.247
0.4888,-0.8661,-0.5779,0.981,-0.0268
0.8804,-2.2221,-0.5813,1.8396,-0.1339
0.2909,-1.0934,-0.3806,-0.1547,-0.3393
-0.5601,-0.3669,0.1791,-0.5172,-0.3446
0.6872,-0.9648,0.7587,-0.0005,0.0817
-0.4704,0.2355,0.8308,-0.0892,0.0767
-0.3552,1.6948,1.6577,1.6638,1.0556
0.2067,-0.5995,0.475,-0.3183,-0.079
-0.4014,0.3754,-0.7625,1.5378,0.1381
1.0627,-0.7353,0.1138,0.2201,0.176
-0.0379,0.2281,-1.3631,1.6743,0.1108
-0.168,0.1253,0.632,-0.6593,-0.0171
0.5848,-0.6191,-0.1176,0.8322,0.1389
-0.4637,-0.0215,-0.871,1.6441,0.002
0.8269,-0.4252,0.1381,-0.0146,0.1531
-0.5067,-0.0675,0.624,-0.4052,-0.128
0.9495,-0.8817,1.1136,-0.2641,0.2058
-0.4604,-0.3676,-0.4758,0.701,-0.2054
